ECON_IDENTITYTHEFT,78
ECON_INFLATION,2370
ECON_INFORMAL,93
ECON_INTEREST,3245
ECON_IPO,305
ECON_MIDDLECLASS,865
ECON_MONEYLAUNDERING,605
ECON_MONOPOLY,274
ECON_MOU,546
ECON_NATGASPRICE,148
ECON_NATIONALIZE,12
ECON_NEWPOWERPLANT,31
ECON_OILPRICE,3660
ECON_PAY,63
ECON_PRICECONTROL,37
ECON_PRICEGOUGE,9
ECON_PRICEMANIPULATION,7
ECON_PROPANE,74
ECON_REMITTANCE,189
ECON_SOVEREIGN,308
ECON_STOCKMARKET,10602
ECON_SUBSIDIES,978
ECON_SUSPICIOUSACTIVITYREPORT,6
ECON_TAXATION,7572
ECON_TRADE,48
ECON_TRANSPORT,66
ECON_UNDEREMPLOYMENT,48
ECON_UNIONS,1614
ECON_WORKINGCLASS,358
ECON_WORLDCURRENCIES,25444
EDUCATION,46004
ELECTION,13855
ELECTION_FRAUD,280
EMERG_DISTRESSSIGNAL,361
EMERG_EMERGSHELTER,146
EMERG_FIELDHOSPITAL,28
EMERG_HAZMAT,38
EMERG_INDUSTRIALACCIDENT,23
EMERG_MASSCASUALTY,11
EMERG_SHELTERINPLACE,180
EMERG_SUSPICIOUSPACKAGE,15
ENV_BIOFUEL,265
ENV_CARBONCAPTURE,39
ENV_CLIMATECHANGE,2541
ENV_COAL,1355
ENV_DEFORESTATION,118
ENV_FISHERY,906
ENV_FORESTRY,519
ENV_GEOTHERMAL,105
ENV_GREEN,1328
ENV_HYDRO,359
ENV_METALS,1201
ENV_MINING,2662
ENV_NATURALGAS,1393
ENV_NUCLEARPOWER,175
ENV_OIL,8805
ENV_OVERFISH,70
ENV_POACHING,454
ENV_SOLAR,1747
ENV_SPECIESENDANGERED,944
ENV_SPECIESEXTINCT,6
ENV_WATERWAYS,527
ENV_WINDPOWER,460
EPU_CATS,87274
EPU_ECONOMY,75286
EPU_POLICY,235112
EPU_UNCERTAINTY,2746
ETH_INDIGINOUS,1777
EVACUATION,2287
EXHUMATION,648
EXILE,441
EXTREMISM,4536
FIREARM_OWNERSHIP,300
FOOD_SECURITY,1652
FOOD_STAPLE,80
